8.222.221.90	2086
47.236.125.4	2053
47.236.202.91	8080
8.219.63.66	2052
8.222.155.242	2086
47.236.193.5	2095
8.222.248.188	2087
47.245.37.98	2086
8.217.164.10	2096
8.219.103.57	8443
8.219.139.86	2086
47.245.37.41	8880
8.219.82.177	2082
47.245.90.176	2082
8.219.248.47	2096
47.236.114.167	8080
8.219.177.205	8443
8.219.101.138	2096
47.245.41.84	2082
8.219.193.22	2086
8.219.250.70	2052
8.219.201.245	8443
8.219.97.179	2087
8.219.152.195	8880
47.236.19.51	2053
8.219.206.180	2095
47.245.11.216	2096
8.222.174.108	2086
8.219.174.142	443
8.219.58.64	2086
47.236.198.189	2052
8.219.90.87	2053
8.219.106.15	2086
47.245.39.49	2053
8.222.214.231	2053
8.219.50.180	2053
47.74.50.249	2087
8.219.92.89	80
8.219.222.98	8443
8.222.255.15	443
47.236.121.7	8443
47.245.55.94	2096
47.236.168.17	8880
47.245.55.94	80
47.236.117.48	443
8.222.130.137	2087
8.219.92.89	2082
8.219.167.65	2053
8.217.164.10	2083
8.210.156.6	8443
8.219.145.245	8443
8.219.1.92	2086
47.245.56.207	8080
8.222.172.23	8443
8.219.122.55	2096
47.236.97.254	2053
8.218.119.115	2086
47.245.113.75	2096
8.219.152.195	2052
8.222.154.50	2095
8.222.138.164	8880
8.222.174.108	8080
47.236.169.141	80
8.222.131.102	2083
8.219.72.50	8443
8.219.228.193	2052
47.236.147.146	2096
47.245.126.151	8880
8.219.83.201	2086
47.245.52.153	2052
8.222.134.170	2095
47.236.79.87	2053
8.222.136.247	2083
8.219.213.112	443
47.236.145.85	8880
47.236.93.176	2052
8.219.77.222	2052
8.219.139.86	2096
8.219.196.24	2083
8.222.172.23	80
8.217.167.88	2083
8.219.74.35	2083
47.236.233.166	8880
8.219.222.98	8880
47.74.46.84	8443
8.222.214.13	2052
47.236.193.208	2086
8.218.110.180	2086
8.219.242.208	8080
47.236.145.85	443
8.209.246.24	2083
8.222.212.172	8080
47.236.171.205	80
47.245.126.151	2082
8.219.102.252	2052
47.236.74.20	2086
8.219.83.201	2053
47.236.71.226	8443
47.236.181.155	8880
8.219.173.239	8443
8.219.98.13	8443
47.245.26.167	2083
8.219.161.129	80
8.222.167.8	8443
8.219.100.168	2083
8.219.215.214	2086
8.219.228.186	2053
8.222.129.245	2096
8.222.130.219	2082
47.236.97.58	2082
47.245.12.179	2083
8.222.154.227	2095
8.219.230.254	8080
8.222.236.229	2082
8.219.93.85	2053
8.219.84.102	2096
47.245.54.197	2082
8.219.213.84	2087
47.236.130.95	8443
8.209.212.5	2082
8.219.61.52	2095
8.218.142.253	8080
47.236.87.246	2082
8.219.83.201	2086
8.219.255.171	8080
8.219.123.244	2087
47.245.80.39	2087
8.219.124.227	2082
47.245.59.133	8080
8.219.122.96	2095
47.245.54.140	2082
8.219.237.250	2053
8.219.110.88	2096
47.76.33.40	2083
8.222.159.252	8443
8.219.139.13	8880
8.222.152.165	2083
47.236.180.51	2052
8.219.67.133	8880
47.245.102.156	2052
8.219.124.227	8880
47.236.39.34	2095
8.219.173.195	2083
8.218.142.253	2095
8.218.126.53	2053
8.219.153.237	8080
8.219.82.35	2087
47.91.31.231	8880
8.218.204.128	2086
8.219.90.32	8443
8.222.164.44	8080
47.236.156.14	2086
8.219.65.191	2095
8.222.152.165	2095
47.236.176.144	2082
8.219.215.214	2087
47.236.166.131	2087
47.236.192.198	2086
8.222.172.23	2086
8.219.215.214	8080
47.236.106.37	2082
47.236.116.208	2086
47.236.71.226	2087
8.222.191.158	8080
8.209.200.73	2053
8.218.146.204	80
47.236.65.177	80
8.219.228.186	8080
47.245.9.228	2087
8.219.170.223	8080
8.219.161.102	8080
8.219.70.117	8880
8.222.168.234	2087
47.245.58.250	2087
47.236.202.221	2095
8.219.198.139	8880
8.217.207.60	2082
8.219.98.13	80
47.245.41.69	2053
47.74.26.196	8443
8.210.151.69	8443
8.222.140.87	443
8.219.191.40	2083
8.219.210.93	8080
8.219.191.40	2082
8.219.140.63	443
8.222.208.38	8080
8.219.51.49	8443
47.91.21.127	8080
8.219.121.87	80
47.245.56.121	80
47.245.113.75	2087
47.245.56.121	2083
8.222.188.56	2083
8.219.185.191	2052
47.236.172.95	8880
47.236.166.184	2082
8.219.194.170	2086
8.219.58.64	443
47.236.82.218	8080
47.245.59.243	8880
8.219.53.142	2082
8.222.152.71	2095
8.219.60.68	80
47.236.11.68	2053
47.236.92.191	8443
8.219.98.13	2083
8.222.211.16	2053
8.209.241.128	8880
8.219.84.214	8080
47.245.80.39	2083
47.245.80.39	2082
47.236.165.25	2095
47.74.42.111	8443
8.219.253.18	2087
47.236.150.109	2082
8.219.173.239	2053
47.236.149.107	2082
8.219.86.200	2096
47.236.7.206	2087
47.245.80.39	8880
8.219.193.22	2096
8.217.167.88	8080
8.219.186.189	2053
8.219.172.128	2087
47.245.110.13	8443
47.91.21.149	2096
47.242.155.183	2095
8.219.60.130	8443
8.222.134.170	80
8.219.55.31	2095
47.74.42.111	2096
8.219.230.254	2087
8.219.137.50	2053
47.74.42.111	2087
8.219.167.65	2087
47.245.52.240	2087
47.236.103.153	2087
47.74.42.17	2087
47.236.144.48	2096
47.236.104.98	2095
47.236.117.48	2096
8.219.253.185	2082
8.218.126.53	2086
47.236.146.249	2083
47.236.130.95	80
8.218.211.17	8080
8.219.153.237	8080
47.245.40.55	2052
47.236.202.91	80
8.219.65.191	8080
8.218.136.25	80
8.219.84.214	2086
47.245.9.228	2083
8.219.112.75	2095
47.245.32.215	2052
47.236.146.249	80
47.245.52.153	2087
47.245.42.162	2087
8.219.66.156	2052
47.236.181.155	2052
8.219.247.203	2086
8.219.141.174	2086
8.219.99.8	2096
47.236.207.133	2053
47.236.193.5	8080
8.222.214.13	8080
8.219.6.157	2083
8.219.86.200	2053
47.245.30.144	2087
8.219.163.195	2083
8.219.110.88	2096
8.219.253.114	8443
8.219.81.50	2083
47.236.94.109	2052
47.236.193.5	2083
8.222.249.190	2083
8.222.138.164	2053
8.219.222.98	2096
8.217.221.165	2086
8.219.106.15	443
47.236.15.73	2096
8.219.82.35	2087
47.245.55.235	80
8.218.105.223	2052
8.219.43.243	2095
47.236.97.254	2083
47.245.37.94	2052
8.219.107.135	8443
47.236.23.135	2052
47.245.11.216	2087
47.245.86.18	2053
8.219.161.129	8080
8.217.49.34	2087
47.236.171.20	2083
8.222.152.71	2096
8.219.139.13	2096
8.219.191.40	80
47.245.82.208	2053
8.222.134.170	8443
8.222.168.155	2053
8.219.102.252	2096
47.245.8.185	2053
8.218.211.17	8443
8.219.179.34	80
8.222.140.87	2087
8.222.130.137	2082
8.219.204.120	2053
47.91.18.207	2086
8.219.65.191	2082
8.219.77.222	8080
8.222.146.222	2096
8.222.129.245	2096
8.219.100.155	8880
8.222.175.78	2083
8.219.77.91	2096
8.219.113.27	2052
47.245.86.18	8443
8.219.100.155	8443
8.219.161.102	2082
8.222.154.227	2083
8.219.90.196	8080
8.219.97.179	443
8.219.174.142	2086
47.245.52.153	2096
8.218.211.17	2052
8.219.84.214	2053
8.219.178.225	2096
47.74.42.17	2053
8.222.140.87	443
47.236.104.123	2086
8.222.160.61	2053
8.218.211.17	2096
47.245.52.240	2052
8.219.83.201	2083
47.236.96.141	2096
47.245.94.144	8880
8.219.145.245	2082
47.236.10.100	2053
8.218.11.90	2087
8.219.183.31	2087
8.222.184.198	8080
47.236.173.200	2053
8.222.150.197	2052
8.219.137.50	2052
47.245.56.121	2086
8.222.182.10	8443
8.219.178.225	2095
8.222.224.163	2096
8.219.172.128	8443
8.222.167.147	8880
8.222.129.245	2053
47.245.2.231	2053
47.236.104.98	2083
8.219.110.88	80
8.219.222.98	443
8.222.145.110	8443
8.219.238.145	2096
8.222.147.203	2082
47.236.96.141	2082
8.219.87.34	2086
8.219.253.185	2096
8.219.178.101	8443
47.245.37.89	2082
8.219.78.222	2095
47.236.144.196	80
47.236.170.54	2053
8.219.210.226	2095
8.219.77.91	2095
8.219.145.245	443
8.219.240.141	2086
8.222.128.131	8080
47.245.41.84	2095
47.245.8.68	2096
47.245.34.140	2052
8.219.228.30	2087
8.219.40.37	80
8.222.133.247	2052
47.236.97.90	2086
47.236.193.5	8443
8.219.107.135	2086
8.219.53.222	8080
8.222.162.45	2052
8.218.158.94	2052
8.222.160.176	2095
47.245.108.213	2087
8.219.170.223	8880
8.219.92.89	8080
8.222.134.170	2083
8.222.224.163	2082
47.236.146.249	2052
47.245.59.133	8880
8.222.187.4	8080
8.219.201.174	443
47.236.65.177	2052
47.245.34.36	2087
8.219.201.8	8080
47.236.97.90	2083
47.245.86.230	2087
8.219.173.239	2083
47.236.71.226	2095
8.222.164.44	2087
47.245.59.188	2095
8.219.178.225	8443
47.76.37.57	2095
47.245.56.121	8080
8.219.74.35	2086
47.236.121.23	8880
8.222.249.98	2086
47.245.42.210	2095
47.236.150.109	2053
8.219.115.215	2083
47.236.97.58	8443
47.236.227.21	8443
8.222.159.252	2052
8.219.113.27	2096
47.245.37.41	2052
8.219.73.21	2053
8.219.222.98	8880
8.219.139.13	2096
8.222.212.219	2053
8.219.235.164	2087
8.219.104.242	8443
47.74.0.183	2087
8.222.249.98	8080
47.236.82.218	2083
8.219.241.189	2053
8.219.104.242	2096
47.236.116.208	2082
8.219.113.232	2086
47.236.99.131	2052
8.219.63.193	2096
8.210.151.69	8880
8.219.40.37	8080
8.222.152.165	2053
8.219.63.193	2053
8.219.79.74	2082
8.219.97.179	8443
47.245.37.37	8443
8.222.145.110	2095
47.236.193.5	2095
8.219.170.58	2087
47.236.76.199	8443
8.218.156.91	443
47.236.17.165	2087
8.219.196.117	8080
8.218.136.25	2053
8.219.148.161	2096
8.209.248.161	2086
47.236.106.37	2086
8.219.142.229	2083
8.219.107.135	8443
8.219.240.160	2087
8.219.72.51	80
8.219.177.205	2053
47.236.147.146	2082
8.222.174.108	2086
8.219.193.202	2096
8.219.72.50	2086
8.219.247.203	443
47.91.16.198	2086
8.222.167.147	2053
8.222.215.228	80
47.236.144.196	2087
8.219.53.222	2087
47.245.56.29	2053
47.236.125.62	8880
47.236.163.221	8880
8.219.251.81	2083
8.219.0.162	2082
8.219.174.142	2083
47.236.76.199	8880
8.219.73.188	2083
8.219.134.63	2053
8.222.144.50	2083
8.222.146.222	2053
8.219.53.142	2087
8.219.154.107	8443
8.222.224.163	2083
8.219.177.205	2052
47.245.9.99	8443
8.219.195.47	8080
8.219.215.214	2083
8.222.146.222	2087
8.222.144.219	2096
8.222.252.150	2053
8.222.138.175	2096
8.218.243.95	2087
8.209.252.13	8880
47.245.37.41	2083
47.236.79.87	2095
8.219.79.74	2083
8.219.134.117	2086
8.222.130.219	2086
8.219.145.245	8080
8.219.199.220	2082
47.236.79.87	2087
47.245.126.151	2087
8.218.105.223	2053
47.245.80.142	2095
47.236.150.13	2052
47.236.150.109	2087
47.245.93.74	2086
47.245.41.84	2083
47.236.97.254	2052
47.245.107.174	2053
47.236.164.215	80
47.245.37.37	2096
47.245.37.94	8880
8.219.172.128	2096
47.245.4.219	8443
47.245.113.12	2082
8.218.201.73	8880
47.236.106.37	2096
47.74.43.95	2053
47.245.7.212	2096
47.245.113.12	2086
8.222.168.155	2086
8.210.192.93	2082
47.236.169.15	8443
8.219.222.8	80
8.222.221.90	443
47.236.94.113	2083
8.219.97.179	8880
47.236.189.173	2096
47.74.41.87	2083
47.245.80.39	2096
8.219.161.129	2087
8.218.110.180	8080
8.219.90.196	80
8.218.126.53	8880
8.222.229.102	8443
8.219.73.188	2096
47.236.125.62	80
8.222.147.203	2052
47.236.149.160	2087
8.219.90.32	2052
47.91.3.112	8443
47.245.55.235	8880
8.219.90.196	2096
47.236.181.155	2086
47.236.169.236	2087
8.222.159.252	2053
47.245.84.124	2082
8.222.168.234	2096
47.236.207.133	8443
8.222.174.108	8880
8.219.179.34	2083
8.222.145.164	2096
8.219.77.91	8080
8.219.178.101	2053
8.219.70.117	2096
47.245.94.144	2053
47.245.59.188	80
47.245.59.188	2086
8.219.137.50	2083
47.236.94.109	8880
47.245.113.12	2082
8.219.230.254	2053
8.219.134.63	2052
47.245.55.99	2082
8.222.162.45	2096
8.222.167.147	2052
8.219.110.88	2087
47.245.89.102	2082
8.218.146.204	2087
8.222.145.164	2053
8.219.170.58	8443
8.222.167.8	2086
8.222.154.50	2087
47.236.146.249	8880
8.222.215.228	2086
47.236.149.160	2053
8.222.138.175	2087
8.222.145.164	8880
47.245.8.68	2053
8.218.146.204	8880
8.219.11.158	2086
8.219.148.161	2052
8.222.188.56	2087
8.219.218.21	8880
8.222.168.155	2087
8.222.131.102	8080
8.219.112.75	2052
8.222.144.219	8080
8.219.213.112	2096
8.219.237.250	2083
47.236.145.180	8080
8.222.129.245	8880
8.219.193.202	8080
8.219.78.1	80
8.219.121.24	2095
8.219.93.5	80
47.236.97.58	2087
47.236.123.133	8080
47.236.94.113	8443
47.76.80.72	2083
47.245.37.98	8880
8.222.227.191	2095
8.222.211.124	2083
8.222.236.229	2053
47.245.39.28	2087
8.219.51.49	2096
8.219.175.127	2053
47.245.84.155	2053
47.245.4.219	2096
8.219.253.114	2083
8.222.167.8	2053
8.219.51.49	2052
47.236.121.23	2053
8.222.134.170	8880
8.219.82.35	8080
47.245.10.156	2096
47.236.5.223	8080
8.222.155.242	2083
47.245.11.118	2087
8.219.99.8	2053
8.219.193.202	2083
47.236.145.85	2082
47.236.192.198	2053
47.245.102.156	2086
8.219.78.1	2052
47.245.59.243	2095
8.219.101.138	80
8.222.138.164	8443
8.219.102.252	80
47.245.59.188	2083
47.236.21.51	2087
47.236.88.181	2053
47.236.121.23	2096
47.245.40.161	80
47.74.36.240	2096
8.219.6.157	2086
47.236.29.235	8880
8.219.152.195	2087
8.222.219.252	80
8.222.167.8	80
47.245.6.9	8443
8.219.103.65	2052
8.219.82.177	2083
47.245.94.144	2096
47.245.113.117	2053
8.219.126.3	8443
47.236.83.239	8080
8.219.100.155	80
8.219.86.200	2082
47.236.173.200	2095
8.222.137.166	2083
8.219.153.237	2052
8.222.211.124	80
47.245.57.109	2087
8.219.60.130	2096
47.245.55.94	8880
47.251.74.226	80
8.219.111.147	8080
8.219.141.174	2096
8.222.167.147	2095
47.236.166.84	8443
8.219.198.139	2083
8.209.243.172	2095
47.236.125.62	2095
47.236.123.218	2083
47.245.37.89	2086
47.245.53.101	2052
8.219.3.53	2082
8.219.177.205	2052
8.222.131.102	2053
8.219.151.193	2095
8.222.134.170	80
8.219.74.35	2052
8.219.60.130	2052
8.219.13.143	443
8.219.89.201	2087
8.222.221.90	2052
8.219.253.18	8443
8.219.147.58	8443
8.219.175.127	80
8.219.58.64	443
8.219.191.40	8880
8.222.159.252	2096
8.222.214.13	2082
8.219.242.208	8880
8.219.179.34	8080
8.222.227.191	2083
47.88.101.9	80
47.236.10.100	8080
47.245.113.75	2053
